matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
1,32,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,50,3,win,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,32,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,48,2,loss,random/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,32,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,37,3,loss,random/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,33,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,42,5,loss,random/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,33,random/repetition_1,random,random,1,1,27,0,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,33,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,2,41,3,loss,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,33,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,47,2,win,variable_2_4/repetition_1|random/repetition_1|variable_encoder_2_4/repetition_1
1,34,random/repetition_1,random,random,1,0,14,3,loss,variable_2_4/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,34,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,1,40,0,loss,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,34,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,40,4,loss,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,34,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,41,2,win,random/repetition_1|variable_2_4/repetition_1|fixed_4p/repetition_1
1,35,random/repetition_1,random,random,1,0,18,0,loss,fixed_4p/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,35,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,46,2,win,random/repetition_1|variable_2_4/repetition_1|variable_encoder_2_4/repetition_1
1,35,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,35,1,loss,random/repetition_1|fixed_4p/repetition_1|variable_encoder_2_4/repetition_1
1,35,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,3,40,4,loss,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,36,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,37,2,loss,variable_encoder_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,36,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,43,3,win,variable_2_4/repetition_1|random/repetition_1|fixed_4p/repetition_1
1,36,random/repetition_1,random,random,1,2,24,4,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,36,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,3,37,1,loss,variable_2_4/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
1,37,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,0,43,4,win,fixed_4p/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,37,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,1,42,3,loss,variable_encoder_2_4/repetition_1|variable_2_4/repetition_1|random/repetition_1
1,37,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,2,43,1,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|random/repetition_1
1,37,random/repetition_1,random,random,1,3,24,2,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,38,random/repetition_1,random,random,1,0,14,1,loss,variable_encoder_2_4/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,38,variable_encoder_2_4/repetition_1,420770657a844be6ab5e55e02edf3782,variable_encoder_2_4,1,1,41,4,loss,random/repetition_1|fixed_4p/repetition_1|variable_2_4/repetition_1
1,38,fixed_4p/repetition_1,8c4f3137f08844a6a9bf39b13b8ce452,fixed_4p,1,2,33,4,loss,random/repetition_1|variable_encoder_2_4/repetition_1|variable_2_4/repetition_1
1,38,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,3,44,1,win,random/repetition_1|variable_encoder_2_4/repetition_1|fixed_4p/repetition_1
1,39,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,41,2,loss,fixed_4p/repetition_1|variable_encoder_2_4/repetition_1|random/repetition_1
